Variable_shortname,File,Variable_longname,Variable_cfname,Unit,Step_type,Level_type,Level,Number_of_points,Missing_values,Dimensions,filepath
ci,eccc-hindcast-ci-20200102,Sea ice area fraction,siconc,(0 - 1),avg,surface,[0 1 2 3],29040,9999,,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-ci-20200102.nc
gh,eccc-hindcast-gh-20200102,Geopotential Height,gh,gpm,instant,isobaricInhPa,[0 1 2 3],29040,9999,plev,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-gh-20200102.nc
lsm,eccc-hindcast-lsm-20200102,Land-sea mask,lsm,(0 - 1),instant,surface,[0],29040,9999,,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-lsm-20200102.nc
msl,eccc-hindcast-msl-20200102,Mean sea level pressure,msl,Pa,instant,meanSea,[0 1 2 3],29040,9999,meanSea,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-msl-20200102.nc
q,eccc-hindcast-q-20200102,Specific humidity,q,kg kg**-1,instant,isobaricInhPa,[0 1 2 3],29040,9999,plev,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-q-20200102.nc
rsn,eccc-hindcast-rsn-20200102,Snow density,rsn,kg m**-3,avg,surface,[0 1 2 3],29040,9999,,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-rsn-20200102.nc
sp,eccc-hindcast-sp-20200102,Surface pressure,sp,Pa,instant,surface,[0 1 2 3],29040,9999,,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-sp-20200102.nc
sst,eccc-hindcast-sst-20200102,Sea surface temperature,sst,K,avg,surface,[0 1 2 3],29040,9999,,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-sst-20200102.nc
t,eccc-hindcast-t-20200102,Temperature,t,K,instant,isobaricInhPa,[0 1 2 3],29040,9999,plev,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-t-20200102.nc
2t,eccc-hindcast-t2m-20200102,2 metre temperature,t2m,K,avg,heightAboveGround,[0 1 2 3],29040,9999,,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-t2m-20200102.nc
tcc,eccc-hindcast-tcc-20200102,Total Cloud Cover,tcc,%,avg,entireAtmosphere,[0 1 2 3],29040,9999,entireAtmosphere,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-tcc-20200102.nc
tcw,eccc-hindcast-tcw-20200102,Total column water,tcw,kg m**-2,avg,entireAtmosphere,[0 1 2 3],29040,9999,entireAtmosphere,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-tcw-20200102.nc
tp,eccc-hindcast-tp-20200102,Total Precipitation,tp,kg m**-2,accum,surface,[0 1 2 3],29040,9999,,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-tp-20200102.nc
ttr,eccc-hindcast-ttr-20200102,Top net thermal radiation,ttr,J m**-2,accum,nominalTop,[0 1 2 3],29040,9999,nominal_top,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-ttr-20200102.nc
u,eccc-hindcast-u-20200102,U component of wind,u,m s**-1,instant,isobaricInhPa,[0 1 2 3],29040,9999,plev,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-u-20200102.nc
v,eccc-hindcast-v-20200102,V component of wind,v,m s**-1,instant,isobaricInhPa,[0 1 2 3],29040,9999,plev,***BASEDIR***training-input/0.3.0/netcdf/eccc-hindcast-v-20200102.nc
